com.samsung.health.food_info,6060029,5
total_fat,potassium,default_number_of_serving_unit,description,carbohydrate,deviceuuid,metric_serving_amount,update_time,serving_description,datauuid,protein,cholesterol,polysaturated_fat,dietary_fiber,calcium,vitamin_a,create_time,unit_count_per_calorie,vitamin_c,custom,metric_serving_unit,monosaturated_fat,saturated_fat,sodium,info_provider,pkg_name,provider_food_id,name,calorie,iron,trans_fat,sugar
0.39,422.0,1,"89 kcal, Per 100g",26.95,dKs3VVxkvQ,118,2017-12-31 21:14:39.107,medium (7" to 7-7/8" long),859c6bc3-743c-4b53-9f28-58cf5e3253c7,1.29,0.0,0.086,3.1,1.0,2.0,2017-12-31 21:14:39.107,1.1222222,17.0,,g,0.038,0.132,1.0,,com.sec.android.app.shealth,default-fatsecret-5388,Banana,105.0,2.0,,14.43
0.23,170.0,1,"30 kcal, Per 100g",11.48,dKs3VVxkvQ,152,2017-12-31 21:14:39.107,"cup, diced",032aeff5-47cf-4dcf-b7f0-01cf11cda953,0.93,0.0,0.076,0.6,1.0,17.0,2017-12-31 21:14:39.107,3.347826,20.0,,g,0.056,0.024,2.0,,com.sec.android.app.shealth,default-fatsecret-35984,Watermelon,46.0,2.0,,9.42
0.46,233.0,1,"32 kcal, Per 100g",11.67,dKs3VVxkvQ,152,2017-12-31 21:14:39.108,"cup, halves",53786b7c-3f93-478e-ac12-bd37aa49c35d,1.02,0.0,0.236,3.0,2.0,0.0,2017-12-31 21:14:39.108,3.1020408,149.0,,g,0.065,0.023,2.0,,com.sec.android.app.shealth,default-fatsecret-35976,Strawberries,49.0,4.0,,7.08
6.76,67.0,1,"102 kcal, Per 53g",0.43,dKs3VVxkvQ,46,2017-12-31 21:14:39.108,large,f0661149-8b8e-4cfb-8964-46a61c7c6422,6.24,210.0,1.214,0.0,3.0,6.0,2017-12-31 21:14:39.108,0.5135135,0.0,,g,2.754,1.88,238.0,,com.sec.android.app.shealth,default-fatsecret-3096,Fried Egg,89.0,5.0,,0.38
1.46,301.0,1,"110 kcal, Per 100g",0.0,dKs3VVxkvQ,118,2017-12-31 21:14:39.109,"breast, bone and skin removed",a357f1fc-b062-434c-b1e0-8fb48594f72d,27.25,68.0,0.33,0.0,1.0,0.0,2017-12-31 21:14:39.109,0.9076923,2.0,,g,0.354,0.389,77.0,,com.sec.android.app.shealth,default-fatsecret-4881229,Skinless Chicken Breast,130.0,5.0,0.024,0.0
1.42,86.0,1,"49 kcal, Per 175g",9.14,dKs3VVxkvQ,177,2017-12-31 21:14:39.110,coffee cup (6 fl oz),332d2170-3c49-4409-b1ce-bac802e29da0,0.38,0.0,0.004,0.0,0.0,0.0,2017-12-31 21:14:39.110,3.7,0.0,,g,0.04,1.295,11.0,,com.sec.android.app.shealth,default-fatsecret-2479597,Coffee with Cream and Sugar,50.0,0.0,,8.51
0.05,111.0,1,"1 kcal, Per 100g",0.09,dKs3VVxkvQ,237,2017-12-31 21:14:39.110,mug (8 fl oz),65d1ee33-3dc4-4840-b65d-8c764ae05ab5,0.28,0.0,0.002,0.0,0.0,0.0,2017-12-31 21:14:39.110,88.5,0.0,,g,0.028,0.005,5.0,,com.sec.android.app.shealth,default-fatsecret-7331,Coffee,2.0,0.0,,0.0
0.0,0.0,1,"0 kcal, Per 100g",0.0,dKs3VVxkvQ,237,2017-12-31 21:14:39.111,cup (8 fl oz),cf5cd21c-ee9e-4279-a233-b3b26d6da56c,0.0,0.0,0.0,0.0,0.0,0.0,2017-12-31 21:14:39.111,,0.0,,g,0.0,0.0,5.0,,com.sec.android.app.shealth,default-fatsecret-37922,Water,0.0,0.0,,0.0
0.0,,1,"140 kcal, Per 1 can",39.0,dKs3VVxkvQ,12,2017-12-31 21:14:39.111,serving,cc81ee36-f814-4c93-bb1b-5b61da999e07,0.0,0.0,0.0,0.0,0.0,0.0,2017-12-31 21:14:39.111,,0.0,,oz,0.0,0.0,45.0,,com.sec.android.app.shealth,default-fatsecret-3650710,Coco-Cola Classic (12 oz)(Coca-Cola),140.0,0.0,0.0,39.0
4.81,366.0,1,"50 kcal, Per 100g",11.42,dKs3VVxkvQ,244,2017-12-31 21:14:39.112,cup,a5c81e71-3c46-49cf-addb-4359464465ea,8.05,20.0,0.178,0.0,28.0,9.0,2017-12-31 21:14:39.112,2.0,1.0,,g,1.366,3.067,100.0,,com.sec.android.app.shealth,default-fatsecret-800,2% Fat Milk,122.0,0.0,,12.35
0.39,422.0,1,"89 kcal, Per 100g",26.95,dKs3VVxkvQ,118,2017-12-31 21:14:39.124,medium (7" to 7-7/8" long),b4d43c35-5af0-4cd4-8808-850b64465571,1.29,0.0,0.086,3.1,1.0,2.0,2017-12-31 21:14:39.124,1.1222222,17.0,,g,0.038,0.132,1.0,,com.sec.android.app.shealth,default-fatsecret-5388,Banana,105.0,2.0,,14.43
0.23,170.0,1,"30 kcal, Per 100g",11.48,dKs3VVxkvQ,152,2017-12-31 21:14:39.125,"cup, diced",abbc3fa9-522c-4560-a954-523abf0c2532,0.93,0.0,0.076,0.6,1.0,17.0,2017-12-31 21:14:39.125,3.347826,20.0,,g,0.056,0.024,2.0,,com.sec.android.app.shealth,default-fatsecret-35984,Watermelon,46.0,2.0,,9.42
0.46,233.0,1,"32 kcal, Per 100g",11.67,dKs3VVxkvQ,152,2017-12-31 21:14:39.126,"cup, halves",f44f7c50-cb28-40db-9555-773f5bcd65b4,1.02,0.0,0.236,3.0,2.0,0.0,2017-12-31 21:14:39.126,3.1020408,149.0,,g,0.065,0.023,2.0,,com.sec.android.app.shealth,default-fatsecret-35976,Strawberries,49.0,4.0,,7.08
6.76,67.0,1,"102 kcal, Per 53g",0.43,dKs3VVxkvQ,46,2017-12-31 21:14:39.127,large,ea6e14df-c01b-41f7-abc0-6138b463ca6a,6.24,210.0,1.214,0.0,3.0,6.0,2017-12-31 21:14:39.127,0.5135135,0.0,,g,2.754,1.88,238.0,,com.sec.android.app.shealth,default-fatsecret-3096,Fried Egg,89.0,5.0,,0.38
1.46,301.0,1,"110 kcal, Per 100g",0.0,dKs3VVxkvQ,118,2017-12-31 21:14:39.127,"breast, bone and skin removed",40c6cc61-7d8e-49e5-a226-85e6781aef53,27.25,68.0,0.33,0.0,1.0,0.0,2017-12-31 21:14:39.127,0.9076923,2.0,,g,0.354,0.389,77.0,,com.sec.android.app.shealth,default-fatsecret-4881229,Skinless Chicken Breast,130.0,5.0,0.024,0.0
1.42,86.0,1,"49 kcal, Per 175g",9.14,dKs3VVxkvQ,177,2017-12-31 21:14:39.128,coffee cup (6 fl oz),56831d62-e6ab-4432-ab6e-99858daee239,0.38,0.0,0.004,0.0,0.0,0.0,2017-12-31 21:14:39.128,3.7,0.0,,g,0.04,1.295,11.0,,com.sec.android.app.shealth,default-fatsecret-2479597,Coffee with Cream and Sugar,50.0,0.0,,8.51
0.05,111.0,1,"1 kcal, Per 100g",0.09,dKs3VVxkvQ,237,2017-12-31 21:14:39.128,mug (8 fl oz),aef7e9e1-0e4e-4d5b-8a3e-97675a99ed91,0.28,0.0,0.002,0.0,0.0,0.0,2017-12-31 21:14:39.128,88.5,0.0,,g,0.028,0.005,5.0,,com.sec.android.app.shealth,default-fatsecret-7331,Coffee,2.0,0.0,,0.0
0.0,0.0,1,"0 kcal, Per 100g",0.0,dKs3VVxkvQ,237,2017-12-31 21:14:39.129,cup (8 fl oz),bd65c5a7-ba3a-4c69-a04f-ece947a3c79b,0.0,0.0,0.0,0.0,0.0,0.0,2017-12-31 21:14:39.129,,0.0,,g,0.0,0.0,5.0,,com.sec.android.app.shealth,default-fatsecret-37922,Water,0.0,0.0,,0.0
0.0,,1,"140 kcal, Per 1 can",39.0,dKs3VVxkvQ,12,2017-12-31 21:14:39.130,serving,1ea8cb9e-c1f1-4b46-93b0-5beb72260747,0.0,0.0,0.0,0.0,0.0,0.0,2017-12-31 21:14:39.130,,0.0,,oz,0.0,0.0,45.0,,com.sec.android.app.shealth,default-fatsecret-3650710,Coco-Cola Classic (12 oz)(Coca-Cola),140.0,0.0,0.0,39.0
4.81,366.0,1,"50 kcal, Per 100g",11.42,dKs3VVxkvQ,244,2017-12-31 21:14:39.130,cup,0fdd4122-b2f5-44fb-accb-8746e23c9ab1,8.05,20.0,0.178,0.0,28.0,9.0,2017-12-31 21:14:39.130,2.0,1.0,,g,1.366,3.067,100.0,,com.sec.android.app.shealth,default-fatsecret-800,2% Fat Milk,122.0,0.0,,12.35
1.5,115.0,1,"130 kcal, Per 1 packet",27.0,79R9GKyaj4,35,2019-07-11 15:40:06.336,serving,1030e29a-45a2-46c5-b82c-b47695439194,3.0,0.0,0.5,3.0,10.0,25.0,2019-07-09 14:28:45.596,0.26923078,0.0,,g,0.5,0.5,160.0,,com.sec.android.app.shealth,fatsecret-25859,Instant Oatmeal - Apples & Cinnamon (35g)(Quaker),130.0,20.0,0.0,9.0
13.39,278.0,1,"1930 kcal, Per 1134g",47.23,79R9GKyaj4,210,2019-07-09 15:49:10.086,cup,3f494954-3710-440d-b8bb-8bcc4a7a1253,12.16,99.0,6.093,3.1,6.0,35.0,2019-07-09 15:49:10.086,0.5882353,14.0,,g,3.953,2.203,927.0,,com.sec.android.app.shealth,fatsecret-5873757,Pad Thai,357.0,14.0,0.026,2.48
