com.samsung.health.food_intake,6060029,4
amount,food_info_id,create_time,time_offset,meal_type,custom,deviceuuid,start_time,pkg_name,update_time,unit,datauuid,name,calorie,comment
,meal_auto_filled,2018-06-10 18:04:19.876,UTC-0300,100001,,79R9GKyaj4,2018-06-10 13:00:00.000,com.sec.android.app.shealth,2018-06-10 18:04:19.876,,3112c6fd-0573-45c6-a7e5-c7bcd1299847,,766.0,
,meal_auto_filled,2018-06-10 18:04:19.909,UTC-0300,100002,,79R9GKyaj4,2018-06-10 18:00:00.000,com.sec.android.app.shealth,2018-06-10 18:04:19.909,,e9d81a8f-07b2-4c76-a998-876468ec0407,,765.0,
2.0,1030e29a-45a2-46c5-b82c-b47695439194,2019-07-09 14:28:45.730,UTC-0300,100001,,79R9GKyaj4,2019-07-09 12:30:55.604,com.sec.android.app.shealth,2019-07-09 14:28:45.730,120001,3b589bce-e929-4ca6-8c1f-cbbe14eb6b2a,Instant Oatmeal - Apples & Cinnamon (35g)(Quaker),260.0,
1.5,3f494954-3710-440d-b8bb-8bcc4a7a1253,2019-07-09 15:49:10.107,UTC-0300,100002,,79R9GKyaj4,2019-07-09 15:48:13.293,com.sec.android.app.shealth,2019-07-09 15:49:10.107,120001,a1875966-e5ba-4414-827d-649117827fa7,Pad Thai,535.5,
1.0,080f9d90-9df2-46c6-a1dd-f0beb096a61e,2019-07-09 17:09:15.905,UTC-0300,100005,,79R9GKyaj4,2019-07-09 17:08:40.985,com.sec.android.app.shealth,2019-07-09 17:09:15.905,120001,e50cbcd1-0e56-4e4e-ac7d-cb44d0838f9d,Fruit Snacks Mixed Fruit (14g)(Welch's),45.0,
3.0,d126f1db-c499-4d90-b192-ba2ad09cc505,2019-07-09 22:59:55.909,UTC-0300,100003,,79R9GKyaj4,2019-07-09 22:57:15.095,com.sec.android.app.shealth,2019-07-09 22:59:55.909,120001,4cfde9b8-db51-4fc2-9c99-1da0b90a94ab,Caesar Salad with Romaine,552.0,
1.0,bf253a11-22c5-483a-90ad-84b3ada09bc7,2019-07-09 22:59:55.909,UTC-0300,100003,,79R9GKyaj4,2019-07-09 22:57:15.095,com.sec.android.app.shealth,2019-07-09 22:59:55.909,120001,b5685946-3655-467a-a827-33c3b2c6dc6d,Avocado,322.0,
1.0,83dc8aa8-8d02-4ab2-83f0-dd8fc222496a,2019-07-09 22:59:55.909,UTC-0300,100003,,79R9GKyaj4,2019-07-09 22:57:15.095,com.sec.android.app.shealth,2019-07-09 22:59:55.909,120001,d4aa23ed-edb0-4eed-8973-0a27264393af,Flour Tortilla,41.0,
3.0,f740781b-a236-4832-b3c4-883515920920,2019-07-09 22:59:55.910,UTC-0300,100003,,79R9GKyaj4,2019-07-09 22:57:15.095,com.sec.android.app.shealth,2019-07-09 22:59:55.910,120001,e7330320-0108-44e9-ac73-3327ccd7a056,Sirloin Tip Steak(Great Value),480.0,
1.0,0b7a268d-a3d6-4f0b-8b40-ccc800f23f97,2019-07-09 22:59:55.910,UTC-0300,100003,,79R9GKyaj4,2019-07-09 22:57:15.095,com.sec.android.app.shealth,2019-07-09 22:59:55.910,120001,fe6a4203-a2d3-4076-97e9-d162182dd05e,Beer,155.0,
