com.samsung.health.user_profile,6060029,8
create_time,blob_value,double_value,int_value,deviceuuid,text_value,pkg_name,update_time,datauuid,float_value,long_value,key
2017-09-26 14:50:30.641,,,,79R9GKyaj4,,com.sec.android.app.shealth,2018-05-07 11:08:32.883,00000000-0000-0000-0000-000000000004,,,name
2017-09-26 14:50:30.649,,,,79R9GKyaj4,M,com.sec.android.app.shealth,2018-05-07 11:08:32.876,00000000-0000-0000-0000-000000000005,,,gender
2017-09-26 14:50:30.668,,,,79R9GKyaj4,,com.sec.android.app.shealth,2019-08-07 11:42:17.469,00000000-0000-0000-0000-000000000006,79.0158,,weight
2017-09-26 14:50:30.678,,,,3CaTqKloqY,,com.sec.android.app.shealth,2017-12-25 19:24:08.644,00000000-0000-0000-0000-000000000008,170.0,,height
2017-09-26 14:50:30.687,,,,79R9GKyaj4,19930616,com.sec.android.app.shealth,2018-05-07 11:08:32.882,00000000-0000-0000-0000-00000000000a,,,birth_date
2017-09-26 14:50:30.706,,,180004,79R9GKyaj4,,com.sec.android.app.shealth,2018-08-20 11:30:49.913,00000000-0000-0000-0000-00000000000b,,,activity_type
2017-12-25 17:59:30.620,,,,79R9GKyaj4,lb,com.sec.android.app.shealth,2018-05-07 11:08:32.880,00000000-0000-0000-0000-000000000007,,,weight_unit
2017-12-25 17:59:30.645,,,,79R9GKyaj4,in,com.sec.android.app.shealth,2018-05-07 11:08:32.878,00000000-0000-0000-0000-000000000009,,,height_unit
2017-12-25 17:59:30.697,,,,3CaTqKloqY,mi,com.sec.android.app.shealth,2017-12-25 19:24:16.591,00000000-0000-0000-0000-00000000000c,,,distance_unit
2017-12-25 17:59:30.729,,,,3CaTqKloqY,F,com.sec.android.app.shealth,2017-12-25 19:24:17.861,00000000-0000-0000-0000-00000000000d,,,temperature_unit
2017-12-25 17:59:30.761,,,,3CaTqKloqY,fl. oz.,com.sec.android.app.shealth,2017-12-25 19:24:23.250,00000000-0000-0000-0000-000000000014,,,water_unit
1970-01-01 00:00:00.001,,,,dKs3VVxkvQ,USA,com.sec.android.app.shealth,1970-01-01 00:00:00.001,00000000-0000-0000-0000-000000000001,,,country
2018-05-07 11:08:32.876,,,,79R9GKyaj4,,com.sec.android.app.shealth,2018-05-07 11:08:32.865,00000000-0000-0000-0000-000000000002,,,image
2018-05-07 11:08:32.886,,,,79R9GKyaj4,image/jpeg,com.sec.android.app.shealth,2018-05-07 11:08:32.885,00000000-0000-0000-0000-000000000018,,,image_type
